collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
001/250,Mazda MX-5 Miata,Mazda MX-5 Miata,2026,HW Dream Garage,Mainline,1/5,JJJ02,,,,Mazda,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/26/CyberpunkMazda.jpg/revision/latest
002/250,'16 Lamborghini Centenario Roadster,'16 Lamborghini Centenario Roadster,2026,Exoticars,Mainline,1/10,JJH80,,,,Lamborghini,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fd/LamborghiniCentenario.jpg/revision/latest
003/250,Gordon Murray Automotive T.33,Gordon Murray Automotive T.33,2026,Exoticars,Mainline,2/10,JJJ62,,,,Hot Wheels,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/37/2025GMAT.33.jpg/revision/latest
004/250,Batmobile,Batmobile,2026,Batman,Mainline,1/5,JJH83,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0f/GunmetalBatmobile.jpg/revision/latest
005/250,Pass 'n Go,Pass 'n Go,2026,Drop Tops,Mainline,1/5,JJH30,,,,Hot Wheels,Drop Tops,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/19/Pass%27nGo.jpg/revision/latest
006/250,RD-06,RD-06,2026,X-Raycers,Mainline,1/5,JJH84,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d4/XRD-06.jpg/revision/latest
007/250,Solar Reflex,Solar Reflex,2026,HW EV,Mainline,1/10,JJH85,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/86/SolarReflexEV.jpg/revision/latest
008/250,Ford Mustang Mach-E 1400,Ford Mustang Mach-E 1400,2026,HW EV,Mainline,2/10,JJH86,,,,Ford,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/32/MustangMach-E1400.jpg/revision/latest
009/250,'87 Buick Regal GNX,'87 Buick Regal GNX,2026,Nightspeed,Mainline,1/10,JJM00,,,,Hot Wheels,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7e/BuickRegal.jpg/revision/latest
010/250,2020 Ford Mustang Shelby GT500,2020 Ford Mustang Shelby GT500,2026,Nightspeed,Mainline,2/10,JJH87,,,,Ford,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/00/2020FordShelbyGT500.jpg/revision/latest
011/250,2018 Honda Civic Type R,2018 Honda Civic Type R,2026,Nightspeed,Mainline,3/10,JJH88,,,,Honda,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6a/2018FK8.jpg/revision/latest
012/250,Carbonator,Carbonator,2026,Experimotors,Mainline,1/5,JJH89,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d6/HNY26Carbonator.jpg/revision/latest
013/250,Drift-Ender,Drift-Ender,2026,Truckin' Along,Mainline,1/5,JJH90,,,,Hot Wheels,Truckin' Along,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3d/DriftDefender.jpg/revision/latest
014/250,'20 Jeep Gladiator,'20 Jeep Gladiator,2026,Truckin' Along,Mainline,2/5,JJH91,,,,Jeep,Truckin' Along,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/1b/2020Gladiator.jpg/revision/latest
