collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
015/250,Porsche 911 Carrera T,Porsche 911 Carrera T,2026,Factory Fresh,Mainline,1/5,JJH33,,,,Porsche,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/94/Porsche911CarreraT.jpg/revision/latest
016/250,Maserati Shamal,Maserati Shamal,2026,Factory Fresh,Mainline,2/5,JJH92,,,,Maserati,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fa/1992MaseratiShamal.jpg/revision/latest
017/250,Bounce'n Bass,Bounce'n Bass,2026,Layin' Low,Mainline,1/5,JJH32,,,,Hot Wheels,Layin' Low,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/34/Bounce%27nBass.jpg/revision/latest
018/250,Deora II,Deora II,2026,HW Fan Driven,Mainline,1/5,JJH93,,,,Hot Wheels,HW Fan Driven,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0e/Surfin%27Deora.jpg/revision/latest
019/250,Rodger Dodger,Rodger Dodger,2026,HW Fan Driven,Mainline,2/5,JJH94,,,,Dodge,HW Fan Driven,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e9/FanDrivenDodger.jpg/revision/latest
020/250,McLaren Formula 1 Team,McLaren Formula 1 Team,2026,Formula 1,Mainline,1/5,JJH95,,,,McLaren,Formula 1,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/dc/McLarenMastercardMCL39.jpg/revision/latest
021/250,Barbie Dream Camper,Barbie Dream Camper,2026,Mattel,Mainline,1/5,JJH96,,,,Barbie,Mattel,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/ef/Dreamcamper.jpg/revision/latest
022/250,Instant Boost,Instant Boost,2026,HW Starting Grid,Mainline,1/10,JJH31,,,,Hot Wheels,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b3/InstantBoost.jpg/revision/latest
023/250,'69 Dodge Charger Daytona,'69 Dodge Charger Daytona,2026,HW Starting Grid,Mainline,2/10,JJH97,,,,Dodge,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8c/1969DodgeDaytona.jpg/revision/latest
024/250,Track Ripper,Track Ripper,2026,HW Starting Grid,Mainline,3/10,JJH82,,,,Hot Wheels,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0d/TrackRipper.jpg/revision/latest
025/250,McMurtry Spéirling,McMurtry Spéirling,2026,Exoticars,Mainline,3/10,JJH81,,,,Hot Wheels,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f7/McMurtrySp%C3%A9irlingPure.jpg/revision/latest
026/250,Pagani Zonda Cinque,Pagani Zonda Cinque,2026,Exoticars,Mainline,4/10,JJH34,,,,Pagani,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/99/%27ToonedZonda.jpg/revision/latest
027/250,Optimus Prime,Optimus Prime,2026,Screen Time,Mainline,1/10,JJJ00,,,,Hot Wheels,Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/80/Optimus.jpg/revision/latest
028/250,HW K.I.T.T. Concept,HW K.I.T.T. Concept,2026,Screen Time,Mainline,2/10,JJH98,,,,Hot Wheels,Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/db/HWKITTConcept.jpg/revision/latest
029/250,'92 Dodge Viper RT/10,'92 Dodge Viper RT/10,2026,Drop Tops,Mainline,2/5,JJM01,,,,Dodge,Drop Tops,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a5/1992Viper.jpg/revision/latest
030/250,X-Steam,X-Steam,2026,X-Raycers,Mainline,2/5,JJJ01,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d4/X-SteamRacer.jpg/revision/latest
031/250,La Liebre,La Liebre,2026,HW Dream Garage,Mainline,2/5,JJH36,,,,Hot Wheels,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/21/LaLiebre.jpg/revision/latest
032/250,5 Alarm,5 Alarm,2026,HW Heavyweights,Mainline,1/5,JJJ03,,,,Hot Wheels,HW Heavyweights,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7f/HW5Alarm.jpg/revision/latest
033/250,Haulerback,Haulerback,2026,HW Heavyweights,Mainline,2/5,JJJ04,,,,Hot Wheels,HW Heavyweights,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/52/CyberpunkTowtruck.jpg/revision/latest
034/250,Porsche Taycan Turbo S,Porsche Taycan Turbo S,2026,HW EV,Mainline,3/10,JJJ05,,,,Porsche,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/5d/2026PorscheTaycan.jpg/revision/latest
035/250,Wattzup,Wattzup,2026,HW EV,Mainline,4/10,JJJ06,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/55/TazerRacer.jpg/revision/latest
036/250,'70 Dodge Hemi Challenger,'70 Dodge Hemi Challenger,2026,Nightspeed,Mainline,4/10,JJJ07,,,,Dodge,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/5a/1970DodgeChallengerHemi.jpg/revision/latest
037/250,Cupra e-Racer,Cupra e-Racer,2026,Nightspeed,Mainline,5/10,JJJ08,,,,Hot Wheels,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d9/NightspeedCupra.jpg/revision/latest
038/250,24/Seven,24/Seven,2026,Nightspeed,Mainline,6/10,JJJ09,,,,Hot Wheels,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/de/24-Seven.jpg/revision/latest
039/250,Roller Toaster,Roller Toaster,2026,Experimotors,Mainline,3/5,JJJ10,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/39/RollerToaster.jpg/revision/latest
040/250,Braille Racer - Twin Mill,Braille Racer - Twin Mill,2026,HW All Drivers Welcome World Braille Day,Mainline,1/5,JJJ11,,,,Hot Wheels,HW All Drivers Welcome World Braille Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/42/BrailleRacer.jpg/revision/latest
041/250,Ferrari SF90 Stradale,Ferrari SF90 Stradale,2026,Ferrari,Mainline,1/5,JJJ12,,,,Hot Wheels,Ferrari,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c5/2024FerrariSF90.jpg/revision/latest
042/250,'83 Chevy Silverado,'83 Chevy Silverado,2026,Truckin' Along,Mainline,3/5,JJJ13,,,,Chevrolet,Truckin' Along,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d7/BlackWidowSilverado.jpg/revision/latest
043/250,Ford Mustang GTD,Ford Mustang GTD,2026,Factory Fresh,Mainline,3/5,JJJ14,,,,Ford,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/50/2026FordMustangGTD.jpg/revision/latest
044/250,'59 Chevy Impala,'59 Chevy Impala,2026,Layin' Low,Mainline,2/5,JJJ15,,,,Chevrolet,Layin' Low,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/05/1959Impala.jpg/revision/latest
045/250,'47 Chevy Fleetline,'47 Chevy Fleetline,2026,Layin' Low,Mainline,3/5,JJJ16,,,,Chevrolet,Layin' Low,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/86/1947Fleetline.jpg/revision/latest
046/250,Purple Passion,Purple Passion,2026,HW Fan Driven,Mainline,3/5,JJJ17,,,,Hot Wheels,HW Fan Driven,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/96/PinkPassion.jpg/revision/latest
047/250,High-Tail Chaser,High-Tail Chaser,2026,HW Mods,Mainline,1/5,JJH35,,,,Hot Wheels,HW Mods,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e0/High-TailChaser.jpg/revision/latest
048/250,Monster High Ghoul Mobile,Monster High Ghoul Mobile,2026,Mattel,Mainline,2/5,JJJ19,,,,Hot Wheels,Mattel,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/88/MonsterHighCar.jpg/revision/latest
049/250,Quick Chat,Quick Chat,2026,Mattel,Mainline,3/5,JJJ18,,,,Hot Wheels,Mattel,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/1f/PhoneCall.jpg/revision/latest
050/250,Bugatti Bolide,Bugatti Bolide,2026,HW Starting Grid,Mainline,4/10,JJJ20,,,,Bugatti,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/92/RacingBolide.jpg/revision/latest
051/250,The Dark Knight Batmobile,The Dark Knight Batmobile,2026,Batman,Mainline,2/5,JJJ21,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fe/TheTumbler.jpg/revision/latest
052/250,Porsche 911 Turbo Cabriolet,Porsche 911 Turbo Cabriolet,2026,Drop Tops,Mainline,3/5,JJJ22,,,,Porsche,Drop Tops,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b9/964Turbo.jpg/revision/latest
053/250,'69 Chevelle,'69 Chevelle,2026,X-Raycers,Mainline,3/5,JJJ23,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a0/1969Chevelle.jpg/revision/latest
054/250,Donut Drifter,Donut Drifter,2026,Sweet Rides,Mainline,1/5,JJJ24,,,,Hot Wheels,Sweet Rides,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/77/DonutCar.jpg/revision/latest
055/250,Dessert Drifter,Dessert Drifter,2026,Sweet Rides,Mainline,2/5,JJJ25,,,,Hot Wheels,Sweet Rides,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9b/JelloCar.jpg/revision/latest
056/250,'67 Camaro,'67 Camaro,2026,HW Dream Garage,Mainline,3/5,JJJ26,,,,Chevrolet,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c0/DreamCamaro.jpg/revision/latest
057/250,Raijin Express,Raijin Express,2026,HW Heavyweights,Mainline,3/5,JJJ27,,,,Hot Wheels,HW Heavyweights,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/33/NekoRaijin.jpg/revision/latest
058/250,Electro Silhouette,Electro Silhouette,2026,HW EV,Mainline,5/10,JJM02,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7f/ElectroSilhouetteTH.jpeg/revision/latest
059/250,Lucid Air,Lucid Air,2026,HW EV,Mainline,6/10,JJJ28,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6b/2022LucidAir.jpg/revision/latest
060/250,Toyota Prius Custom,Toyota Prius Custom,2026,HW J-Imports,Mainline,1/10,JJH37,,,,Toyota,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c0/ToyotaPriusCustom.jpg/revision/latest
061/250,Mazda RX-7,Mazda RX-7,2026,HW J-Imports,Mainline,2/10,JJJ29,,,,Mazda,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/ea/1978MazdaRX-7.jpg/revision/latest
062/250,Ferrari 365 GTB4 Competizione,Ferrari 365 GTB4 Competizione,2026,Ferrari,Mainline,2/5,JJJ30,,,,Hot Wheels,Ferrari,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f1/365Comp.jpg/revision/latest
063/250,Ferrari F40 Competizione,Ferrari F40 Competizione,2026,Ferrari,Mainline,3/5,JJJ31,,,,Hot Wheels,Ferrari,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a2/FerrariF40Comp.jpg/revision/latest
064/250,Mercedes-Benz Unimog 1300L,Mercedes-Benz Unimog 1300L,2026,Truckin' Along,Mainline,4/5,JJJ32,,,,Mercedes-Benz,Truckin' Along,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/64/Unimog1300.jpg/revision/latest
065/250,Drift Box,Drift Box,2026,HW Euro,Mainline,1/10,JJH40,,,,Hot Wheels,HW Euro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3f/DriftBox.jpg/revision/latest
066/250,'17 Audi RS 6 Avant,'17 Audi RS 6 Avant,2026,HW Euro,Mainline,2/10,JJJ33,,,,Audi,HW Euro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/1a/2017Avant.jpg/revision/latest
067/250,Lotus Cortina,Lotus Cortina,2026,HW Euro,Mainline,3/10,JJJ34,,,,Lotus,HW Euro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/99/1963Cortina.jpg/revision/latest
068/250,Visa Cash App Racing Bulls Formula One Team,Visa Cash App Racing Bulls Formula One Team,2026,Formula 1,Mainline,2/5,JJJ35,,,,Hot Wheels,Formula 1,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e8/VCARB02.jpg/revision/latest
069/250,Volvo 240 Drift Wagon,Volvo 240 Drift Wagon,2026,HW Mods,Mainline,2/5,JJJ36,,,,Volvo,HW Mods,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a4/VolvoDriftWagon.jpg/revision/latest
070/250,Decidedly Go,Decidedly Go,2026,Mattel,Mainline,4/5,JJJ37,,,,Hot Wheels,Mattel,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/dd/8Ballin%27.jpg/revision/latest
071/250,Austin Mini Cooper S,Austin Mini Cooper S,2026,Then and Now,Mainline,1/10,JJH39,,,,Hot Wheels,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c8/AustinMini.jpg/revision/latest
072/250,Datsun 240Z,Datsun 240Z,2026,Then and Now,Mainline,2/10,JJJ38,,,,Nissan,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/17/1972240Z.jpg/revision/latest
073/250,BMW M4 GT3,BMW M4 GT3,2026,HW Starting Grid,Mainline,5/10,JNG69,,,,BMW,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8d/BMWM4GT3.jpg/revision/latest
074/250,McLaren W1,McLaren W1,2026,Exoticars,Mainline,5/10,JJJ39,,,,McLaren,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c8/2025W1.jpg/revision/latest
075/250,X-cceleron,X-cceleron,2026,Exoticars,Mainline,6/10,JJH43,,,,Hot Wheels,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/17/X-cceleron.jpg/revision/latest
076/250,'76 Chevy Chevette,'76 Chevy Chevette,2026,Drag Racers,Mainline,1/10,JJJ40,,,,Chevrolet,Drag Racers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8b/DragChevette.jpg/revision/latest
077/250,Supercharged,Supercharged,2026,Drag Racers,Mainline,2/10,JJJ41,,,,Hot Wheels,Drag Racers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/63/NHRASupercharged.jpg/revision/latest
078/250,Hako Type D,Hako Type D,2026,Compact Kings,Mainline,1/10,JJJ43,,,,Hot Wheels,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b7/CompactSupotsuka.jpg/revision/latest
079/250,Hoto Roto,Hoto Roto,2026,Compact Kings,Mainline,2/10,JJJ44,,,,Hot Wheels,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/57/BlackRoto.jpg/revision/latest
080/250,Kei Swap,Kei Swap,2026,Compact Kings,Mainline,3/10,JJJ65,,,,Hot Wheels,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/71/GabeSwap.jpg/revision/latest
081/250,Hot Wheengs,Hot Wheengs,2026,X-Raycers,Mainline,4/5,JJM03,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/59/HotSauce.jpg/revision/latest
082/250,Birthday Burner,Birthday Burner,2026,Sweet Rides,Mainline,3/5,JJJ45,,,,Hot Wheels,Sweet Rides,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c7/CakeBake.jpg/revision/latest
083/250,Rapid Pulse,Rapid Pulse,2026,HW Heavyweights,Mainline,4/5,JJJ46,,,,Hot Wheels,HW Heavyweights,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e7/TrackPulse.jpg/revision/latest
084/250,Polestar TRX,Polestar TRX,2026,HW EV,Mainline,7/10,JJJ47,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6f/RacingTRX.jpg/revision/latest
085/250,Voltage Spike,Voltage Spike,2026,HW EV,Mainline,8/10,JJJ48,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b7/Spiker.jpg/revision/latest
086/250,VW ID. Buzz Bomb,VW ID. Buzz Bomb,2026,HW Euro,Mainline,4/10,JJH46,,,,Volkswagen,HW Euro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e5/VolkswagenID.BuzzBomb.jpg/revision/latest
087/250,Cruise Bruiser,Cruise Bruiser,2026,Wagons,Mainline,1/10,JJJ49,,,,Hot Wheels,Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/49/TanBruiser.jpg/revision/latest
088/250,Nissan Skyline 2000 GT-R,Nissan Skyline 2000 GT-R,2026,HW J-Imports,Mainline,3/10,JJJ50,,,,Nissan,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c6/1973NissanKenmeri.jpg/revision/latest
089/250,1985 Honda CR-X,1985 Honda CR-X,2026,HW J-Imports,Mainline,4/10,JJJ51,,,,Honda,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fc/1985HondaCR-XMugen.jpg/revision/latest
090/250,'16 Cadillac ATS-V R,'16 Cadillac ATS-V R,2026,Nightspeed,Mainline,7/10,JJJ52,,,,Cadillac,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/CadillacGT3.jpg/revision/latest
091/250,LB-WORKS Lamborghini Huracán Coupé,LB-WORKS Lamborghini Huracán Coupé,2026,Nightspeed,Mainline,8/10,JJJ53,,,,Lamborghini,Nightspeed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/5d/LBHurac%C3%A1n.jpg/revision/latest
092/250,Feline Lucky,Feline Lucky,2026,Experimotors,Mainline,2/5,JJJ54,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/91/I%27mFelineLucky.jpg/revision/latest
093/250,Coupé Clip,Coupé Clip,2026,Experimotors,Mainline,4/5,JJJ55,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7d/Coup%C3%A9Clip.jpg/revision/latest
094/250,Ferrari 12Cilindri,Ferrari 12Cilindri,2026,Ferrari,Mainline,4/5,JJH41,,,,Hot Wheels,Ferrari,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6f/Ferrari12Cilindri.jpg/revision/latest
095/250,'64 Impala,'64 Impala,2026,Layin' Low,Mainline,4/5,JJJ56,,,,Chevrolet,Layin' Low,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c8/1964ChevroletImpala.jpg/revision/latest
096/250,El Segundo Coupe,El Segundo Coupe,2026,HW Fan Driven,Mainline,4/5,JJJ57,,,,Hot Wheels,HW Fan Driven,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/ec/RacingCoupe.jpg/revision/latest
097/250,Corvette Grand Sport,Corvette Grand Sport,2026,Then and Now,Mainline,3/10,JJJ58,,,,Chevrolet,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/54/C2GrandSport.jpg/revision/latest
098/250,'96 Porsche Carrera,'96 Porsche Carrera,2026,Then and Now,Mainline,4/10,JJJ59,,,,Porsche,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/01/1996Porsche996.jpg/revision/latest
099/250,Renault Espace F1,Renault Espace F1,2026,HW Starting Grid,Mainline,6/10,JJJ60,,,,Hot Wheels,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4d/RacingEspace.jpg/revision/latest
100/250,Twin Dorado,Twin Dorado,2026,HW Starting Grid,Mainline,7/10,JJJ61,,,,Hot Wheels,HW Starting Grid,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/44/RacingDorado.jpg/revision/latest
101/250,'17 Pagani Huayra Roadster,'17 Pagani Huayra Roadster,2026,Exoticars,Mainline,7/10,JJH99,,,,Pagani,Exoticars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/ac/2017Huayra.jpg/revision/latest
102/250,Pass'n Gasser,Pass'n Gasser,2026,Drag Racers,Mainline,3/10,JJK30,,,,Hot Wheels,Drag Racers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7e/Passin%27Gas.jpg/revision/latest
103/250,Eggshelleracer,Eggshelleracer,2026,Drag Racers,Mainline,4/10,JJH47,,,,Hot Wheels,Drag Racers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0e/Eggshelleracer.jpg/revision/latest
104/250,'68 Dodge Dart,'68 Dodge Dart,2026,Drag Racers,Mainline,5/10,JJJ63,,,,Dodge,Drag Racers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/89/1968Dart.jpg/revision/latest
105/250,'85 Honda City Turbo II,'85 Honda City Turbo II,2026,Compact Kings,Mainline,4/10,JJJ66,,,,Honda,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4f/HondaCityTurbo.jpg/revision/latest
106/250,Mazda RX-3,Mazda RX-3,2026,Compact Kings,Mainline,5/10,JJJ82,,,,Mazda,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/43/MazdaRX-3Custom.jpg/revision/latest
107/250,1966 Bat Boat,1966 Bat Boat,2026,Batman,Mainline,3/5,JJJ67,,,,Hot Wheels,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7b/1966Batboat.jpg/revision/latest
108/250,The Simpsons Family Car,The Simpsons Family Car,2026,Screen Time,Mainline,3/10,JJJ68,,,,Hot Wheels,Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6f/SimpsonsCar.jpg/revision/latest
109/250,Time Shifter,Time Shifter,2026,Wagons,Mainline,2/10,JJJ69,,,,Hot Wheels,Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0a/Shiftin%27Time.jpg/revision/latest
110/250,'70 Chevelle SS Wagon,'70 Chevelle SS Wagon,2026,Wagons,Mainline,3/10,JJJ70,,,,Hot Wheels,Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c4/ATNChevelle.jpg/revision/latest
111/250,Long Bloc,Long Bloc,2026,Wagons,Mainline,4/10,JJJ71,,,,Hot Wheels,Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d0/MoonBloc.jpg/revision/latest
