collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
037/250,Ford F-150 Lightning Custom,Ford F-150 Lightning Custom,2024,HW Green Speed,Mainline,5/10,HTB82,,,,Ford,HW Green Speed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/53/FordLightningCustom.jpg/revision/latest
038/250,'87 Dodge D100,'87 Dodge D100,2024,HW Reverse Rake,Mainline,1/5,HTB89,,,,Dodge,HW Reverse Rake,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/96/2024DodgeD100.jpg/revision/latest
039/250,Croc Rod,Croc Rod,2024,HW Mega Bite,Mainline,2/5,HTC02,,,,Hot Wheels,HW Mega Bite,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/07/Croc_Rod_HCT02.jpg/revision/latest
040/250,Corvette C6,Corvette C6,2024,HW Roadsters,Mainline,2/5,HTC14,,,,Chevrolet,HW Roadsters,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9f/2009CorvetteConvertible.jpg/revision/latest
041/250,Proton Saga,Proton Saga,2024,Compact Kings,Mainline,3/5,HRY46,,,,Hot Wheels,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/31/1985ProtonSaga.jpg/revision/latest
042/250,Volkswagen T2 Pickup,Volkswagen T2 Pickup,2024,HW Hot Trucks,Mainline,1/10,HTC28,,,,Volkswagen,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2a/VWPickup.jpg/revision/latest
043/250,'19 Ford Ranger Raptor,'19 Ford Ranger Raptor,2024,HW Hot Trucks,Mainline,2/10,HTC29,,,,Ford,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d7/HKSRaptor.jpg/revision/latest
044/250,Nissan Skyline RS (KDR30),Nissan Skyline RS (KDR30),2024,HW J-Imports,Mainline,1/10,HTC40,,,,Nissan,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2d/NissanSkylineRS.jpg/revision/latest
045/250,Honda Civic Si,Honda Civic Si,2024,HW J-Imports,Mainline,2/10,HTC41,,,,Honda,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/ad/2000HondaCivic.jpg/revision/latest
046/250,Porsche 911 Carrera RS 2.7,Porsche 911 Carrera RS 2.7,2024,Factory Fresh,Mainline,4/10,HTC49,,,,Porsche,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/39/1973Porsche911.jpg/revision/latest
