collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
115/250,'75 Chevy Blazer Custom,'75 Chevy Blazer Custom,2025,HW Dirt New in Mainline,Mainline,5/10,JBB19,,,,Chevrolet,HW Dirt New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/78/%2775Blazer.jpg/revision/latest
116/250,Slide Kick,Slide Kick,2025,Experimotors,Mainline,1/10,HYY57,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fc/ExperiSlide.jpg/revision/latest
117/250,Flippin Fast,Flippin Fast,2025,Experimotors,Mainline,2/10,HYY58,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d3/ExperiFlip.jpg/revision/latest
118/250,Skull Shaker,Skull Shaker,2025,Experimotors,Mainline,3/10,HYY59,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fa/ExperiSkull.jpg/revision/latest
119/250,'91 GMC Syclone,'91 GMC Syclone,2025,HW Hot Trucks,Mainline,8/10,HYY60,,,,Hot Wheels,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4b/1991GMCSyclone.jpg/revision/latest
120/250,Custom Kia EV6,Custom Kia EV6,2025,HW EV,Mainline,8/10,HYW22,,,,Hot Wheels,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fd/KiaEV6.jpg/revision/latest
121/250,'67 Ford Mustang Coupe,'67 Ford Mustang Coupe,2025,Then and Now,Mainline,1/10,HYY62,,,,Ford,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/63/1967MustangCustom.jpg/revision/latest
122/250,Range Rover Velar,Range Rover Velar,2025,Then and Now,Mainline,2/10,HYY63,,,,Land Rover,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a3/RangeRoverVelar.jpg/revision/latest
123/250,2018 Honda Civic Type R,2018 Honda Civic Type R,2025,Then and Now,Mainline,3/10,HYY64,,,,Honda,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0d/2018HondaFK8.jpg/revision/latest
124/250,Futurismo,Futurismo,2025,HW Race Day,Mainline,4/10,HYY65,,,,Hot Wheels,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e2/Futurismo.jpg/revision/latest
125/250,2020 Koenigsegg Jesko,2020 Koenigsegg Jesko,2025,HW Race Day,Mainline,5/10,HYY66,,,,Koenigsegg,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/7f/IkeaJesko.jpg/revision/latest
126/250,HW Formula Solar,HW Formula Solar,2025,HW Celebration Racers Earth Day,Mainline,4/10,HYY67,,,,Hot Wheels,HW Celebration Racers Earth Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/60/SolarRacer.jpg/revision/latest
127/250,'92 Ford Mustang,'92 Ford Mustang,2025,HW: '70s vs. '90s,Mainline,7/10,HYY68,,,,Ford,HW: '70s vs. '90s,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8e/1992FordMustang.jpg/revision/latest
128/250,RRRoadster,RRRoadster,2025,Compact Kings,Mainline,5/10,HYY69,,,,Hot Wheels,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/69/FCSter.jpg/revision/latest
129/250,'68 Dodge Dart,'68 Dodge Dart,2025,Compact Kings,Mainline,6/10,HYY70,,,,Dodge,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4d/1968DodgeDart.jpg/revision/latest
130/250,'20 Jeep Gladiator,'20 Jeep Gladiator,2025,HW Dirt,Mainline,6/10,HYY71,,,,Jeep,HW Dirt,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b0/NittoGladiator.jpg/revision/latest
131/250,'71 Dodge Challenger,'71 Dodge Challenger,2025,Muscle Mania,Mainline,1/10,HYY79,,,,Dodge,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2c/1971Challenger.jpg/revision/latest
132/250,Snoopy,Snoopy,2025,HW Screen Time,Mainline,7/10,HYW62,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/25/Snoopy25.jpg/revision/latest
133/250,Monster Dairy Delivery,Monster Dairy Delivery,2025,HW Designed By,Mainline,5/5,HYX28,,,,Hot Wheels,HW Designed By,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d2/MonsterMilkDelivery.jpg/revision/latest
134/250,'68 Corvette - Gas Monkey Garage,'68 Corvette - Gas Monkey Garage,2025,HW Dream Garage,Mainline,5/5,HYY74,,,,Chevrolet,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0c/BlownCorvette.jpg/revision/latest
135/250,Long Bloc,Long Bloc,2025,HW Art Cars,Mainline,9/10,HYW30,,,,Hot Wheels,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/48/LongBloc.jpg/revision/latest
136/250,Salt Shaker,Salt Shaker,2025,X-Raycers,Mainline,10/10,HYY75,,,,Hot Wheels,X-Raycers,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2e/SaltShaker.jpg/revision/latest
137/250,Rapid Pulse,Rapid Pulse,2025,HW First Response,Mainline,5/5,HYY76,,,,Hot Wheels,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6c/EMTPulse.jpg/revision/latest
138/250,Pixel Shaker,Pixel Shaker,2025,HW Ride-Ons,Mainline,5/5,HYY77,,,,Hot Wheels,HW Ride-Ons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/ca/OrangePixel.jpg/revision/latest
139/250,Custom '53 Cadillac,Custom '53 Cadillac,2025,Rod Squad,Mainline,9/10,HYY78,,,,Cadillac,Rod Squad,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/32/1953CaddyPickup.jpg/revision/latest
140/250,Ford Model A Custom '31,Ford Model A Custom '31,2025,HW Dirt,Mainline,7/10,HYW24,,,,Ford,HW Dirt,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/74/OldRed.jpg/revision/latest
141/250,'85 Honda City Turbo II,'85 Honda City Turbo II,2025,HW J-Imports,Mainline,5/5,JBC25,,,,Honda,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/58/1985HondaCity.jpg/revision/latest
142/250,McLaren W1,McLaren W1,2025,HW Race Day,Mainline,6/10,HYW41,,,,McLaren,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e8/McLarenW1.jpg/revision/latest
143/250,Birthday Burner,Birthday Burner,2025,HW Celebration Racers  Happy Birthday!,Mainline,5/10,JBC26,,,,Hot Wheels,HW Celebration Racers  Happy Birthday!,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9f/TreasureBurner.jpg/revision/latest
144/250,Nissan Skyline GT-R (BCNR33),Nissan Skyline GT-R (BCNR33),2025,HW: '70s vs. '90s,Mainline,8/10,HYY80,,,,Nissan,HW: '70s vs. '90s,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/46/HKSPowerR33.jpg/revision/latest
145/250,Batmobile,Batmobile,2025,Batman,Mainline,4/5,HYY81,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2c/BATBatmobile.jpg/revision/latest
146/250,Minecart,Minecart,2025,HW Screen Time,Mainline,8/10,HYY82,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fd/MinecraftMinecart.jpg/revision/latest
147/250,Chevy El Camino,Chevy El Camino,2025,HW Screen Time New in Mainline,Mainline,9/10,HYY83,,,,Chevrolet,HW Screen Time New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/73/%2767ElCamino.jpg/revision/latest
148/250,Cone Shaker,Cone Shaker,2025,HW Metro,Mainline,5/5,HYW35,,,,Hot Wheels,HW Metro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/47/ConeShaker.jpg/revision/latest
149/250,Quick Bite,Quick Bite,2025,Fast Foodie,Mainline,3/5,HYY84,,,,Hot Wheels,Fast Foodie,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b2/FuegoFajitas.jpg/revision/latest
150/250,Honda CB750 Café,Honda CB750 Café,2025,HW Moto,Mainline,1/5,HYY85,,,,Honda,HW Moto,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d1/HondaCaf%C3%A9Racer.jpg/revision/latest
151/250,Rodger Dodger 2.0,Rodger Dodger 2.0,2025,HW EV,Mainline,9/10,HYY86,,,,Dodge,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/be/EVDodger.jpg/revision/latest
152/250,'19 Chevy Silverado Trail Boss LT,'19 Chevy Silverado Trail Boss LT,2025,HW Dirt,Mainline,8/10,HYY97,,,,Chevrolet,HW Dirt,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6c/TrailBossLT.jpg/revision/latest
153/250,Buns of Steel,Buns of Steel,2025,Hot Wheels Let's Race,Mainline,5/5,HYY88,,,,Hot Wheels,Hot Wheels Let's Race,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/Bunso%27Steel.jpg/revision/latest
154/250,Porsche 911 Rallye,Porsche 911 Rallye,2025,Safari Mode,Mainline,2/5,HYW87,,,,Porsche,Safari Mode,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/14/2022PorscheDakar.jpg/revision/latest
155/250,Big-Air Bel-Air,Big-Air Bel-Air,2025,Safari Mode,Mainline,3/5,HYY89,,,,Hot Wheels,Safari Mode,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d4/OffRoadBelAir.jpg/revision/latest
156/250,HW Ultimate T-Rex Transporter,HW Ultimate T-Rex Transporter,2025,Experimotors,Mainline,4/10,HYY90,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e0/GreenRex.jpg/revision/latest
157/250,'83 Chevy Silverado,'83 Chevy Silverado,2025,HW Hot Trucks,Mainline,9/10,HYY91,,,,Chevrolet,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/78/1983Silverado.jpg/revision/latest
158/250,Hoto Roto,Hoto Roto,2025,Rod Squad,Mainline,10/10,HYW33,,,,Hot Wheels,Rod Squad,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/87/HotoRoto.jpg/revision/latest
159/250,Ford GT,Ford GT,2025,HW Modified,Mainline,4/5,HYY92,,,,Ford,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c4/FordGTGT1.jpg/revision/latest
160/250,Crate Racer,Crate Racer,2025,Experimotors,Mainline,5/10,JBB02,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/61/HWTiresRacer.jpg/revision/latest
161/250,'67 Shelby GT500,'67 Shelby GT500,2025,Mustang 60th,Mainline,3/5,HYY93,,,,Shelby,Mustang 60th,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0b/1967GT500.jpg/revision/latest
162/250,2018 Bentley Continental GT3,2018 Bentley Continental GT3,2025,HW Race Day,Mainline,7/10,JBB30,,,,Bentley,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a7/BentleyGT3.jpg/revision/latest
163/250,'95 Mazda RX-7 Drift,'95 Mazda RX-7 Drift,2025,HW: '70s vs. '90s New in Mainline,Mainline,9/10,HYY95,,,,Mazda,HW: '70s vs. '90s New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a7/1995MazdaDrift.jpg/revision/latest
164/250,'70 Dodge Hemi Challenger,'70 Dodge Hemi Challenger,2025,HW: '70s vs. '90s,Mainline,10/10,HYY96,,,,Dodge,HW: '70s vs. '90s,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/91/1970Challenger.jpg/revision/latest
165/250,'69 Mercury Cyclone,'69 Mercury Cyclone,2025,Muscle Mania,Mainline,2/10,HYY61,,,,Hot Wheels,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/54/1969Cyclone.jpg/revision/latest
166/250,Disney Steamboat,Disney Steamboat,2025,HW Screen Time,Mainline,10/10,HYY98,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e3/Disney%27sSteamboat.jpg/revision/latest
167/250,Mattel Dream Mobile,Mattel Dream Mobile,2025,HW Celebration Racers Mattel 80th Anniversary,Mainline,6/10,HYX42,,,,Hot Wheels,HW Celebration Racers Mattel 80th Anniversary,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0b/DreamCar.jpg/revision/latest
168/250,Nissan Leaf NISMO RC_02,Nissan Leaf NISMO RC_02,2025,HW EV,Mainline,10/10,JBC27,,,,Nissan,HW EV,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2f/LeafNISMO.jpg/revision/latest
169/250,'67 Austin Mini Van,'67 Austin Mini Van,2025,HW Art Cars,Mainline,10/10,JBB00,,,,Hot Wheels,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/83/AustinVan.jpg/revision/latest
170/250,Madfast,Madfast,2025,Track Aces,Mainline,3/5,JBB01,,,,Hot Wheels,Track Aces,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e6/BenedictMadfast.jpg/revision/latest
171/250,Amaru GTC,Amaru GTC,2025,Safari Mode,Mainline,4/5,HYW36,,,,Hot Wheels,Safari Mode,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d0/AmaruGTC.jpg/revision/latest
172/250,Renault Espace F1,Renault Espace F1,2025,HW Modified,Mainline,5/5,HYW32,,,,Hot Wheels,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/50/RenaultEspaceF1.jpg/revision/latest
173/250,1978 Dodge Li'l Red Express Truck,1978 Dodge Li'l Red Express Truck,2025,HW Hot Trucks,Mainline,10/10,JBB03,,,,Dodge,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/DodgePickup.jpg/revision/latest
174/250,Peugeot 9X8 Hypercar,Peugeot 9X8 Hypercar,2025,HW Exotics,Mainline,2/5,HYW11,,,,Hot Wheels,HW Exotics,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b1/Peugeot9X8.jpg/revision/latest
175/250,'71 Mustang Funny Car,'71 Mustang Funny Car,2025,Mustang 60th,Mainline,4/5,JBB04,,,,Ford,Mustang 60th,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3d/FordFunnyCar.jpg/revision/latest
