collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
197/250,Hot Wheengs,Hot Wheengs,2025,Fast Foodie,Mainline,5/5,HYW42,,,,Hot Wheels,Fast Foodie,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/2f/HotWheengs.jpg/revision/latest
198/250,Ferrari F40 Competizione,Ferrari F40 Competizione,2025,HW Exotics,Mainline,4/5,HYW59,,,,Hot Wheels,HW Exotics,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/66/FerrariF40Competizione.jpg/revision/latest
199/250,Audi 90 quattro,Audi 90 quattro,2025,Peak Pursuit,Mainline,2/10,JBB20,,,,Audi,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/61/AudiQuattroGTO.jpg/revision/latest
200/250,VW T3 Custom,VW T3 Custom,2025,Peak Pursuit,Mainline,3/10,JBB21,,,,Volkswagen,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/5d/VolkswagenT3Custom.jpg/revision/latest
201/250,Honda Civic Custom,Honda Civic Custom,2025,HW Reverse Rake,Mainline,5/5,JBB22,,,,Honda,HW Reverse Rake,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/74/Honda_Civic_Custom_2025.jpg/revision/latest
202/250,Chevroletor,Chevroletor,2025,Track Aces,Mainline,5/5,JBC29,,,,Chevrolet,Track Aces,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/15/2025_General_Motors_Chevroletor.jpg/revision/latest
203/250,Lil' Roar,Lil' Roar,2025,Safari Mode,Mainline,5/5,HYW44,,,,Hot Wheels,Safari Mode,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b7/Lil%27Roar.jpg/revision/latest
204/250,Terra-Tracktyl,Terra-Tracktyl,2025,HW Track Champs,Mainline,1/5,JBB23,,,,Hot Wheels,HW Track Champs,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/53/Terratracktyl.jpg/revision/latest
205/250,Pontiac Aztek Custom,Pontiac Aztek Custom,2025,Wild Widebody,Mainline,3/5,JBB24,,,,Pontiac,Wild Widebody,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/50/2004PontiacAztek.jpg/revision/latest
206/250,Speed Driver,Speed Driver,2025,Experimotors,Mainline,8/10,JBB25,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c5/SpeedDriver.jpg/revision/latest
207/250,Ravenger S/T,Ravenger S/T,2025,Muscle Mania,Mainline,4/10,JBB26,,,,Hot Wheels,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d5/Bluevenger.jpg/revision/latest
208/250,'69 Dodge Coronet Superbee,'69 Dodge Coronet Superbee,2025,Muscle Mania,Mainline,5/10,JBB27,,,,Dodge,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/37/DodgeSuperbee.jpg/revision/latest
209/250,McLaren Speedtail,McLaren Speedtail,2025,HW Exotics,Mainline,5/5,JBB28,,,,McLaren,HW Exotics,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/96/2019McLarenSpeedtail.jpg/revision/latest
210/250,Land Rover Defender 90,Land Rover Defender 90,2025,Then and Now,Mainline,5/10,JBB29,,,,Land Rover,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3e/LandRoverNinety.jpg/revision/latest
211/250,Custom '18 Ford Mustang GT,Custom '18 Ford Mustang GT,2025,Mustang 60th,Mainline,5/5,HYY94,,,,Ford,Mustang 60th,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/74/2018CustomMustang.jpg/revision/latest
212/250,Honda S800 Racing,Honda S800 Racing,2025,Compact Kings,Mainline,9/10,JBC30,,,,Honda,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a9/1968HondaS800.jpg/revision/latest
213/250,Lotus Cortina,Lotus Cortina,2025,Compact Kings,Mainline,10/10,HYW46,,,,Lotus,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/76/LotusCortina.jpg/revision/latest
214/250,2013 SRT Viper,2013 SRT Viper,2025,Then and Now,Mainline,6/10,JBB15,,,,Dodge,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3a/2013SRTViper.jpg/revision/latest
215/250,Blitzspeeder,Blitzspeeder,2025,HW Track Champs,Mainline,2/5,JBB32,,,,Hot Wheels,HW Track Champs,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/04/Greenspeeder.jpg/revision/latest
216/250,Quick Chat,Quick Chat,2025,Experimotors,Mainline,9/10,HYW45,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/30/QuickChat.jpg/revision/latest
217/250,King Kuda,King Kuda,2025,Muscle Mania,Mainline,6/10,JBB33,,,,Hot Wheels,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/44/KingKuda.jpg/revision/latest
218/250,Mod Mill,Mod Mill,2025,Muscle Mania,Mainline,7/10,HYW47,,,,Hot Wheels,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/72/ModMill.jpg/revision/latest
219/250,Ford Mustang Dark Horse,Ford Mustang Dark Horse,2025,Then and Now,Mainline,7/10,JBB34,,,,Ford,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/64/DRKHRS.jpg/revision/latest
220/250,Porsche 911 GT3 RS,Porsche 911 GT3 RS,2025,Then and Now,Mainline,8/10,JBB35,,,,Porsche,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/07/2016PorscheGT3.jpg/revision/latest
221/250,'94 Bugatti EB110 SS,'94 Bugatti EB110 SS,2025,HW Race Day,Mainline,9/10,JBB36,,,,Bugatti,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/1994Bugatti.jpg/revision/latest
222/250,Ferrari 365 GTB4 Competizione,Ferrari 365 GTB4 Competizione,2025,HW Race Day,Mainline,10/10,HYW48,,,,Hot Wheels,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/ed/Ferrari365Competizione.jpg/revision/latest
223/250,Layin' Lowrider,Layin' Lowrider,2025,HW Celebration Racers Cinco de Mayo,Mainline,7/10,JBB37,,,,Hot Wheels,HW Celebration Racers Cinco de Mayo,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/50/Cincorider.jpg/revision/latest
224/250,Honda VFR750R (RC30),Honda VFR750R (RC30),2025,HW Moto,Mainline,4/5,HYW51,,,,Honda,HW Moto,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/47/HondaVFR750R.jpg/revision/latest
225/250,Pagani Utopia,Pagani Utopia,2025,Peak Pursuit,Mainline,4/10,JBB38,,,,Pagani,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/35/2025PaganiUtopia.jpg/revision/latest
226/250,Mazda 787B,Mazda 787B,2025,Peak Pursuit,Mainline,5/10,JBB39,,,,Mazda,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/cc/Mazdaspeed787B.jpg/revision/latest
227/250,Volvo 240 Drift Wagon,Volvo 240 Drift Wagon,2025,HW Wagons,Mainline,3/5,JBB40,,,,Volvo,HW Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/19/HYY20loose.png/revision/latest
228/250,Twin Dorado,Twin Dorado,2025,HW Track Champs,Mainline,3/5,HYW49,,,,Hot Wheels,HW Track Champs,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a1/TwinDorado.jpg/revision/latest
229/250,Shark Bite,Shark Bite,2025,Experimotors,Mainline,10/10,JBC31,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b1/2025_Shark_Bite.jpg/revision/latest
230/250,'73 Pontiac Firebird,'73 Pontiac Firebird,2025,Muscle Mania,Mainline,8/10,JBB41,,,,Pontiac,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/ac/1973Firebird.jpg/revision/latest
231/250,'73 Honda Civic Custom,'73 Honda Civic Custom,2025,Then and Now,Mainline,9/10,JBB42,,,,Honda,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/81/1973CustomCivic.jpg/revision/latest
232/250,1966 Bat Boat,1966 Bat Boat,2025,Batman,Mainline,5/5,HYW57,,,,Hot Wheels,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/91/Batboat.jpg/revision/latest
233/250,Custom '56 Ford Truck,Custom '56 Ford Truck,2025,HW Celebration Racers Day of the Dead/Halloween,Mainline,8/10,JBB43,,,,Ford,HW Celebration Racers Day of the Dead/Halloween,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/09/FordTruckCustom.jpg/revision/latest
234/250,Feline Lucky,Feline Lucky,2025,HW Celebration Racers  Maneki-neko Day,Mainline,9/10,HYW52,,,,Hot Wheels,HW Celebration Racers  Maneki-neko Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e2/FelineLucky.jpg/revision/latest
235/250,1966 Triumph Tiger 100,1966 Triumph Tiger 100,2025,HW Moto,Mainline,5/5,JBC32,,,,Hot Wheels,HW Moto,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9b/TriumphRaceBike.jpg/revision/latest
236/250,Limited Grip,Limited Grip,2025,Peak Pursuit,Mainline,6/10,JBB44,,,,Hot Wheels,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e1/LimitedGripDriftTruck.jpg/revision/latest
237/250,McMurtry Spéirling,McMurtry Spéirling,2025,Peak Pursuit,Mainline,7/10,HYW55,,,,Hot Wheels,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/92/McMurtrySp%C3%A9irling.jpg/revision/latest
238/250,Jaguar XJC V12 Coupe,Jaguar XJC V12 Coupe,2025,Wild Widebody,Mainline,4/5,HYW54,,,,Jaguar,Wild Widebody,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/be/JaguarXJC.jpg/revision/latest
239/250,Porsche 911 Turbo Cabriolet,Porsche 911 Turbo Cabriolet,2025,Then and Now,Mainline,10/10,HYW37,,,,Porsche,Then and Now,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/97/964TurboConvertible.jpg/revision/latest
240/250,'20 Dodge Charger Hellcat,'20 Dodge Charger Hellcat,2025,Muscle Mania,Mainline,9/10,JBB45,,,,Dodge,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/94/2020DodgeHellcat.jpg/revision/latest
241/250,Mo-Stash,Mo-Stash,2025,HW Celebration Racers Movember,Mainline,10/10,JBB46,,,,Hot Wheels,HW Celebration Racers Movember,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/3e/MO-STASH_JBB46_1_C.jpg/revision/latest
242/250,El Segundo Rallye,El Segundo Rallye,2025,HW Track Champs,Mainline,4/5,HYW58,,,,Hot Wheels,HW Track Champs,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c5/ElSegundoRallye.jpg/revision/latest
243/250,Mazda RX-3,Mazda RX-3,2025,Peak Pursuit,Mainline,8/10,JBB47,,,,Mazda,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0d/Mazzdarx32025.jpg/revision/latest
244/250,Gone Mad,Gone Mad,2025,HW Wagons,Mainline,4/5,HYW56,,,,Hot Wheels,HW Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/32/GoneMad.jpg/revision/latest
245/250,BMW M3 Wagon,BMW M3 Wagon,2025,HW Wagons,Mainline,5/5,JBB48,,,,BMW,HW Wagons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/68/M3WagonGreen.jpg/revision/latest
246/250,'84 Audi Sport quattro,'84 Audi Sport quattro,2025,Wild Widebody,Mainline,5/5,JBC33,,,,Audi,Wild Widebody,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/63/1984quattro.jpg/revision/latest
247/250,Ford RS200,Ford RS200,2025,Peak Pursuit New in Mainline,Mainline,9/10,JBB49,,,,Ford,Peak Pursuit New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c7/Regular_2025_Ford_RS200.jpg/revision/latest
248/250,Polestar TRX,Polestar TRX,2025,Peak Pursuit,Mainline,10/10,HYW29,,,,Hot Wheels,Peak Pursuit,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c6/PolestarTRX.jpg/revision/latest
249/250,Triumph TR6,Triumph TR6,2025,HW Track Champs,Mainline,5/5,JBC34,,,,Hot Wheels,HW Track Champs,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/ae/2025_Triumph_TR6.jpg/revision/latest
250/250,1983 Porsche 928S,1983 Porsche 928S,2025,Muscle Mania,Mainline,10/10,HYW53,,,,Porsche,Muscle Mania,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c1/Porsche928.jpg/revision/latest
